,Zipcode,period_end,inventory
349,98178,2013-12-31,77.66666666666667
350,98178,2014-12-31,70.25
351,98178,2015-12-31,48.583333333333336
352,98178,2016-12-31,44.083333333333336
353,98178,2017-12-31,41.416666666666664
354,98178,2018-12-31,59.25
355,98178,2019-12-31,54.916666666666664
356,98178,2020-12-31,33.166666666666664
357,98178,2021-12-31,20.083333333333332
358,98178,2022-12-31,28.166666666666668
359,98178,2023-12-31,23.5
360,98178,2024-12-31,23.0
361,98185,2017-12-31,
362,98185,2018-12-31,
363,98185,2019-12-31,
364,98185,2020-12-31,
365,98185,2021-12-31,
366,98194,2013-12-31,
367,98194,2014-12-31,
368,98194,2015-12-31,
369,98194,2016-12-31,
370,98194,2017-12-31,
371,98194,2018-12-31,
372,98194,2019-12-31,
373,98194,2020-12-31,
374,98194,2021-12-31,2.5
375,98194,2022-12-31,
376,98194,2023-12-31,
377,98194,2024-12-31,1.0
378,98199,2012-12-31,78.0
379,98199,2013-12-31,63.333333333333336
380,98199,2014-12-31,55.916666666666664
381,98199,2015-12-31,36.416666666666664
382,98199,2016-12-31,35.916666666666664
383,98199,2017-12-31,37.833333333333336
384,98199,2018-12-31,47.583333333333336
385,98199,2019-12-31,59.916666666666664
386,98199,2020-12-31,48.083333333333336
387,98199,2021-12-31,33.25
388,98199,2022-12-31,41.916666666666664
389,98199,2023-12-31,37.25
390,98199,2024-12-31,21.5
